,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num,days_after_upload,youtuber_id,clean_name,clean_name_noun
11,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자의 간단한 저녁 밥.,-201 days +07:27:27.585545000,2965410,22000,645,201,0,요리 하다 남자 간단하다 저녁 밥,"['요리', '남자', '저녁', '밥']"
12,취미로 요리하는 남자 Yonam ,556000000,SUB) 취미로 요리하는 남자가 현실 요리사 친구들과 노는 방법.,-226 days +07:27:27.585545000,1090533,1000,194,226,0,취미 요리 하다 남자 현실 요리사 친구 들 노 방법,"['취미', '요리', '남자', '현실', '요리사', '친구', '노', '방법']"
13,취미로 요리하는 남자 Yonam ,556000000,SUB) 친구네집 집들이요리 2편 풀드포크. with제이제이 (김치전 아님),-242 days +07:27:27.585545000,589072,460000,90,242,0,친구 네 집 집들이 요리 편 풀드 포크 제이제이 김치전 아니다,"['친구', '네', '집', '집들이', '요리', '편', '풀드', '포크', '제이제이', '김치전']"
14,취미로 요리하는 남자 Yonam ,556000000,SUB) 친구네집 집들이요리 1편 안심스테이크. with제이제이,-242 days +07:27:27.585545000,959644,670000,184,242,0,친구 네 집 집들이 요리 편 안심 스테이크 제이제이,"['친구', '네', '집', '집들이', '요리', '편', '안심', '스테이크', '제이제이']"
15,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자의 대가족 만찬.,-250 days +07:27:27.584544000,864881,1000,124,250,0,요리 하다 남자 대가족 만찬,"['요리', '남자', '대가족', '만찬']"
16,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 캠핑을 가면 벌어지는 일,-259 days +07:27:27.584544000,529576,60000,81,259,0,요리 하다 남자 캠핑 가면 벌어지다 일,"['요리', '남자', '캠핑', '가면', '일']"
17,취미로 요리하는 남자 Yonam ,556000000,SUB) 쿡튜버 모임의 한상 가득 만찬!!!!,-268 days +07:27:27.584544000,724588,620000,167,268,0,쿡튜버 모임 한 상 가득 만찬,"['쿡튜버', '모임', '상', '가득', '만찬']"
18,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 푸드 크리에이터 앞에서 요리하기.,-277 days +07:27:27.584544000,949258,690000,193,277,0,요리 하다 남자 푸드 크리에이터 앞 요리 하다,"['요리', '남자', '푸드', '크리에이터', '앞', '요리']"
19,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 부모님께 회덮밥 해드리는 이야기.,-283 days +07:27:27.584544000,406573,490000,85,283,0,요리 하다 남자 부모님 께 회덮밥 해드리다 이야기,"['요리', '남자', '부모님', '회덮밥', '이야기']"
20,취미로 요리하는 남자 Yonam ,556000000,SUB) 까르보나라와 함께하는 10만기념 QnA,-291 days +07:27:27.584544000,618158,70000,92,291,0,까르보나라 함께 하다 기념 QnA,"['까르보나라', '기념']"
21,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 낚시터에 가면 벌어지는 일.,-298 days +07:27:27.584544000,1249679,780000,266,298,0,요리 하다 남자 낚시터 가면 벌어지다 일,"['요리', '남자', '낚시터', '가면', '일']"
22,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 퇴근하고 먹는 간단한 스테이크 덮밥,-304 days +07:27:27.584544000,667728,550000,127,304,0,요리 하다 남자 퇴근 하고 먹다 간단하다 스테이크 덮다 밥,"['요리', '남자', '퇴근', '스테이크', '덮다', '밥']"
23,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 옥탑방에 놀러가면 벌어지는 일,-312 days +07:27:27.584544000,1611816,11000,355,312,0,요리 하다 남자 옥탑방 놀다 가면 벌어지다 일,"['요리', '남자', '옥탑방', '가면', '일']"
24,취미로 요리하는 남자 Yonam ,556000000,워터에이징 한우 나눔이벤트 후기.,-317 days +07:27:27.584544000,84664,140000,15,317,0,워터 이징 한우 나눔 이벤트 후기,"['워터', '이징', '한우', '나눔', '이벤트', '후기']"
25,취미로 요리하는 남자 Yonam ,556000000,SUB) 남은 음식으로 만든 흔한 회덮밥,-323 days +07:27:27.584544000,365791,320000,65,323,0,남다 음식 만들다 흔하다 회덮밥,"['음식', '회덮밥']"
26,취미로 요리하는 남자 Yonam ,556000000,취미로 요리하는 남자의 장비소개 + (이벤트종료),-325 days +07:27:27.584544000,138656,260000,15,325,0,취미 요리 하다 남자 장비 소개 이벤트 종료,"['취미', '요리', '남자', '장비', '소개', '이벤트', '종료']"
27,취미로 요리하는 남자 Yonam ,556000000,세계 4대 진미 특집! 4편 이베리코! 요남 X 제이제이 콜라보!!!/베요타/플루마/목심,-326 days +07:27:27.584544000,273933,220000,32,326,0,세계 대다 진미 특집 편 베리 코 요 남 제이제이 콜라 보베 요타 플루 마목 심,"['세계', '진미', '특집', '편', '베리', '코', '요', '남', '제이제이', '콜라', '보베', '요타', '플루', '마목', '심']"
28,취미로 요리하는 남자 Yonam ,556000000,세계 4대 진미 특집! 3편 캐비어! 요남 X 제이제이 콜라보!!!/딱새우/우니/연어회,-332 days +07:27:27.584544000,242186,20000,43,332,0,세계 대다 진미 특집 편 캐비어 요 남 제이제이 콜라보 딱 새우다 연 어회,"['세계', '진미', '특집', '편', '캐비어', '요', '남', '제이제이', '콜라보', '연', '어회']"
29,취미로 요리하는 남자 Yonam ,556000000,sub)세계 4대 진미 특집! 2편 트러플! 요남 X 제이제이 콜라보!!!/고든램지 관자요리/트러플파스타/수제파스타,-336 days +07:27:27.584544000,501495,350000,87,336,0,세계 대다 진미 특집 편 트러플 요 남 제이제이 콜라보 고든 램지 관자 요리 트러플 파스타 수 제 파스타,"['세계', '진미', '특집', '편', '트러플', '요', '남', '제이제이', '콜라보', '고든', '램지', '관자', '요리', '트러플', '파스타', '수', '제', '파스타']"
30,취미로 요리하는 남자 Yonam ,556000000,sub)세계 4대 진미 특집! 1편 푸아그라! 요남 X 제이제이 콜라보!!!,-340 days +07:27:27.584544000,266703,230000,52,340,0,세계 대다 진미 특집 편 푸아그라 요 남 제이제이 콜라보,"['세계', '진미', '특집', '편', '푸아그라', '요', '남', '제이제이', '콜라보']"
31,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 친구 집에 가면 벌어지는 일.,-346 days +07:27:27.584544000,2160227,13000,284,346,0,요리 하다 남자 친구 집 가면 벌어지다 일,"['요리', '남자', '친구', '집', '가면', '일']"
32,취미로 요리하는 남자 Yonam ,556000000,sub)오징어 두 마리로 파스타 만들기/ 오징어먹물파스타/ 오징어튀김파스타 / 오징어 바질파스타,-358 days +07:27:27.584544000,288686,230000,63,358,0,오징어 두 마리 파스타 만들기 오징어 먹물 파스타 오징어 튀김 파스타 오징어 바질 파스타,"['오징어', '두', '마리', '파스타', '만들기', '오징어', '먹물', '파스타', '오징어', '튀김', '파스타', '오징어', '바질', '파스타']"
33,취미로 요리하는 남자 Yonam ,556000000,SUB) 소갈비 바베큐!/수비드 40시간/낚시터 1박2일/궁극의 캠핑요리/이베리코 뼈등심,-366 days +07:27:27.584544000,347417,230000,49,366,0,소갈비 바베큐 수비드 시간 낚시터 박일 궁극 캠핑 요리 베리 코 뼈 등심,"['소갈비', '바베큐', '수비드', '시간', '낚시터', '박일', '궁극', '캠핑', '요리', '베리', '코', '뼈', '등심']"
34,취미로 요리하는 남자 Yonam ,556000000,[수비드 동파육] 집에서 동파육 도전해봤어요!!!,-373 days +07:27:27.584544000,607962,460000,141,373,0,수비드 동파육 집 동파육 도전 해봤다,"['수비드', '동파육', '집', '동파육', '도전']"
35,취미로 요리하는 남자 Yonam ,556000000,sub) 이베리코 꼬치구이/티본 스테이크/립아이 스테이크,-384 days +07:27:27.583542000,625034,420000,104,384,0,베리 코 꼬치 구 이티 보다 스테이크 립 아이 스테이크,"['베리', '코', '꼬치', '구', '이티', '스테이크', '립', '아이', '스테이크']"
36,취미로 요리하는 남자 Yonam ,556000000,워터에이징 수비드 안심스테이크/고든램지 관자요리/한우2플러스/수비드메쉬포테이토/완두콩퓨레/water aging/wet aged steak/yonam #요남 #숙성안심 #다이닝,-401 days +07:27:27.583542000,831254,640000,173,401,0,워터 이징 수비드 안심 스테이크 고든 램지 관자 요리 한우 플러스 수비드 메쉬 포테이토 완두콩 퓨레 water agingwet aged steakyonam 요 남 숙성 안심 다이닝,"['워터', '이징', '수비드', '안심', '스테이크', '고든', '램지', '관자', '요리', '한우', '플러스', '수비드', '메쉬', '포테이토', '완두콩', '퓨레', '요', '남', '숙성', '안심', '다이닝']"
37,취미로 요리하는 남자 Yonam ,556000000,치즈폭발 랍스터 수제버거/100%소고기/퀸즈블랙/에그마니버거/치즈주사기,-417 days +07:27:27.583542000,512717,390000,137,417,0,치즈 폭발 랍스터 수제 버거 소고기 퀸즈 블랙 에그 말다 버거 치즈 주사기,"['치즈', '폭발', '랍스터', '수제', '버거', '소고기', '퀸즈', '블랙', '버거', '치즈', '주사기']"
38,취미로 요리하는 남자 Yonam ,556000000,"집에서 하는 2+ 한우 채끝 수비드 규카츠, 아스파라거스 튀김  (sous Vide beef cutlet film)",-429 days +07:27:27.583542000,193067,20000,25,429,0,집 하다 한우 채끝 수비드 규 카츠 아스파라거스 튀김 sous Vide beef cutlet film,"['집', '한우', '채끝', '수비드', '규', '카츠', '아스파라거스', '튀김']"
39,취미로 요리하는 남자 Yonam ,556000000,"2+한우 채끝, 랍스터테일 스테이크 (Korean New York Strip Steak, Lobster, shrimp)",-438 days +07:27:27.583542000,163043,150000,17,438,0,한우 채끝 랍스터 테일 스테이크 Korean New York Strip Steak Lobster shrimp,"['한우', '채끝', '랍스터', '테일', '스테이크']"
40,취미로 요리하는 남자 Yonam ,556000000,"SUB) 원룸 자취방에서 스테이크 레슨!!! (feat.수비드 티본, 토마호크스테이크)",-450 days +07:27:27.583542000,130815,110000,17,450,0,원룸 자취 방 스테이크 레슨 수비드 티 보다 토마호크 스테이크,"['원룸', '자취', '방', '스테이크', '레슨', '수비드', '티', '토마호크', '스테이크']"
41,취미로 요리하는 남자 Yonam ,556000000,sub) 친구에게 아기가 생겼어요! 신혼집 스테이크 파티? (feat. 인생뉴비 생후 2달 임솔),-461 days +07:27:27.583542000,560517,550000,71,461,0,친구 에게 아기 생기다 신혼집 스테이크 파티 인생 뉴비 생후 달 임솔,"['친구', '아기', '생기', '신혼집', '스테이크', '파티', '인생', '뉴비', '생후', '달', '임솔']"
42,취미로 요리하는 남자 Yonam ,556000000,60일 웻에이징 스테이크를 시도해봤습니다 feat 대파 로제 파스타,-467 days +07:27:27.583542000,727237,450000,126,467,0,일 웻 이징 스테이크 시도 해봤다 대파 로제 파스타,"['일', '웻', '이징', '스테이크', '시도', '대파', '로제', '파스타']"
43,취미로 요리하는 남자 Yonam ,556000000,SUB) 썩은고기? ㄴㄴ 드라이에이징 티본 수비드 직화 스테이크,-478 days +07:27:27.583542000,425292,370000,67,478,0,썩다 드라이 이징 티 보다 수비드 직화 스테이크,"['드라이', '이징', '티', '수비드', '직화', '스테이크']"
44,승우아빠 ,442000000,51시간동안 바베큐한 등갈비,-9 days +07:27:27.583542000,29770,150000,14,9,1,시간 동안 바베큐 한 등 갈비,"['시간', '동안', '바베큐', '등', '갈비']"
45,승우아빠 ,442000000,음식 무조건 맛있게 하는 공식 알려드립니다,-9 days +07:27:27.583542000,142136,420000,41,9,1,음식 무조건 맛있다 하다 공식 알다 드리다,"['음식', '무조건', '공식', '알다']"
46,승우아빠 ,442000000,굴소스는 사드세요.....제발,-11 days +07:27:27.583542000,410497,510000,96,11,1,굴소스 사드 세 요 제발,"['굴소스', '사드', '세', '요', '제발']"
47,승우아빠 ,442000000,세상 간단한 마이야르 치킨 3가지,-14 days +07:27:27.583542000,180382,360000,52,14,1,세상 간단하다 마이 야 르 치킨 가지,"['세상', '마이', '르', '치킨', '가지']"
48,승우아빠 ,442000000,절대로 집에서 요리하면 안되는 사람들,-16 days +07:27:27.583542000,208209,570000,71,16,1,절대로 집 요리 하다 안되다 사람 들,"['절대로', '집', '요리', '사람']"
49,승우아빠 ,442000000,세상 간단한 홍게요리 4가지와 게살버거,-18 days +07:27:27.583542000,160119,240000,49,18,1,세상 간단하다 홍게 요리 가지 게살 버거,"['세상', '홍게', '요리', '가지', '게살', '버거']"
50,승우아빠 ,442000000,세상 간단한 통조림 요리 7가지,-21 days +07:27:27.583542000,146496,310000,53,21,1,세상 간단하다 통조림 요리 가지,"['세상', '통조림', '요리', '가지']"
51,승우아빠 ,442000000,달걀60개로 김계란 만들기,-23 days +07:27:27.583542000,345845,360000,91,23,1,달걀 김 계란 만들기,"['달걀', '김', '계란', '만들기']"
52,승우아빠 ,442000000,400번 떨궈만드는 짜고나 국수를 만들었,-25 days +07:27:27.583542000,195381,320000,59,25,1,번 떨구다 만들다 짜다 국수 만들다,"['번', '국수']"
53,승우아빠 ,442000000,24시간동안 우대갈비를 요리해 보았습니다,-28 days +07:27:27.583542000,293449,350000,112,28,1,시간 동안 우대 갈비 요리 하다 보다,"['시간', '동안', '우대', '갈비', '요리']"
54,승우아빠 ,442000000,요리를 잘 못해서 죄송합니다,-30 days +07:27:27.583542000,187650,40000,66,30,1,요리 자다 못 하다 죄송하다,"['요리', '못']"
55,승우아빠 ,442000000,세상 간단한 볶음우동 요리 6가지,-32 days +07:27:27.583542000,161683,460000,45,32,1,세상 간단하다 볶음 우동 요리 가지,"['세상', '볶음', '우동', '요리', '가지']"
56,승우아빠 ,442000000,세상 간단한 떡볶이 레시피 6가지,-35 days +07:27:27.583542000,177062,330000,54,35,1,세상 간단하다 떡볶이 가지,"['세상', '떡볶이', '가지']"
57,승우아빠 ,442000000,동료에게 정치당해서 진급 떨어진일,-37 days +07:27:27.583542000,78710,160000,27,37,1,동료 에게 정치 당하다 진급 떨다 진일,"['동료', '정치', '진급', '진일']"
58,승우아빠 ,442000000,세상 간단한 주먹밥 레시피 9가지,-39 days +07:27:27.583542000,204402,40000,44,39,1,세상 간단하다 주먹밥 가지,"['세상', '주먹밥', '가지']"
59,승우아빠 ,442000000,공중파 요리방송에 더이상 못나가게된 이유,-40 days +07:27:27.583542000,221414,360000,61,40,1,공중파 요리 방송 더 이상 못 나가다 되다 이유,"['공중파', '요리', '방송', '더', '이상', '못', '이유']"
60,승우아빠 ,442000000,174시간동안 베이컨을 만들어 보았습니다,-42 days +07:27:27.583542000,443957,560000,128,42,1,시간 동안 베이컨 만들다 보다,"['시간', '동안', '베이컨']"
61,승우아빠 ,442000000,대형마트가 모두 사라질수도 있다고 합니다,-44 days +07:27:27.582542000,104533,190000,34,44,1,대형 마트 모두 사라지다 있다 하다,"['대형', '마트', '모두']"
62,승우아빠 ,442000000,세상 간단한 김밥 레시피 8가지,-46 days +07:27:27.582542000,226195,320000,69,46,1,세상 간단하다 김밥 가지,"['세상', '김밥', '가지']"
63,승우아빠 ,442000000,간장이 너무 많아서 만든 영상,-47 days +07:27:27.582542000,90486,20000,22,47,1,간장 너무 많다 만들다 영상,"['간장', '영상']"
64,승우아빠 ,442000000,철 없는 30대의 프랑스식 소꿉요리와 크레페,-49 days +07:27:27.582542000,198608,330000,52,49,1,철 없다 대의 프랑스 식 소꿉 요리 크레페,"['철', '대의', '프랑스', '식', '소꿉', '요리', '크레페']"
65,승우아빠 ,442000000,세상간단한 훈제오리요리 8가지,-51 days +07:27:27.582542000,214729,430000,56,51,1,세상 간단하다 훈제오리 요리 가지,"['세상', '훈제오리', '요리', '가지']"
66,승우아빠 ,442000000,치킨회사 CEO의 치킨월드컵,-53 days +07:27:27.582542000,74746,84400,26,53,1,치킨 회사 CEO 치킨 월드컵,"['치킨', '회사', '치킨', '월드컵']"
67,승우아빠 ,442000000,치킨회사 대표님의 충격고백,-54 days +07:27:27.582542000,81989,140000,38,54,1,치킨 회사 대표 님 충격고백,"['치킨', '회사', '대표', '충격고백']"
68,승우아빠 ,442000000,세상 간단한 라면 요리 10가지,-56 days +07:27:27.582542000,293505,520000,103,56,1,세상 간단하다 라면 요리 가지,"['세상', '라면', '요리', '가지']"
69,승우아빠 ,442000000,이제는 치약도 핵불닭이다? 입천장 까지는 극한의 매운맛 치약 등장!,-58 days +07:27:27.582542000,71599,130000,30,58,1,이제 치약 핵 불닭 입천장 까지는 극한 맵다 맛 치약 등장,"['이제', '치약', '핵', '불닭', '입천장', '극한', '맛', '치약', '등장']"
70,승우아빠 ,442000000,마이야르 달팽이빵과 돼지 5겹살 요리,-60 days +07:27:27.582542000,109179,160000,29,60,1,마이 야 르 달팽이 빵 돼지 겹살 요리,"['마이', '르', '달팽이', '빵', '돼지', '겹살', '요리']"
71,승우아빠 ,442000000,세상 간단한 즉석밥 요리 10가지,-63 days +07:27:27.582542000,286587,650000,75,63,1,세상 간단하다 즉석밥 요리 가지,"['세상', '즉석밥', '요리', '가지']"
72,승우아빠 ,442000000,최신유행 핫도그 10가지를 넣었더니...,-65 days +07:27:27.582542000,236676,270000,59,65,1,최신유행 핫도그 가지 넣다,"['최신유행', '핫도그', '가지']"
73,승우아빠 ,442000000,"오늘은 감자탕을 만들겠습니다, 그런데 이제 감자가 없는",-67 days +07:27:27.582542000,138663,240000,36,67,1,오늘 감자탕 만들다 그런데 이제 감자 없다,"['오늘', '감자탕', '이제', '감자']"
74,승우아빠 ,442000000,조리도구 다 필요없고 '이것' 여섯개만 있어도 충분합니다,-68 days +07:27:27.582542000,292936,550000,127,68,1,조리 도구 필요없다 것 여섯 있다 충분하다,"['조리', '도구', '것', '여섯']"
75,승우아빠 ,442000000,배추만두! 사진만 보고 만들 수 있을까?,-70 days +07:27:27.582542000,104775,20000,25,70,1,배추 만두 사진 보고 만들다 수 있다,"['배추', '만두', '사진', '보고', '수']"
76,승우아빠 ,442000000,실제로 약빤(?) 동료와 함께 일할 때 생기는 일,-72 days +07:27:27.582542000,107976,210000,43,72,1,실제 약 빨다 동료 함께 일 하다 때 생기다 일,"['실제', '약', '동료', '일', '때', '생기', '일']"
77,승우아빠 ,442000000,세상 간단한 대왕오징어 요리 5가지,-74 days +07:27:27.582542000,164414,20000,47,74,1,세상 간단하다 대왕오징어 요리 가지,"['세상', '대왕오징어', '요리', '가지']"
78,승우아빠 ,442000000,펭수를 무단도용한 CU를 저격한 GS25와 편의점 전쟁,-75 days +07:27:27.582542000,114209,180000,50,75,1,펭수 무단 도용 한 CU 저격 한 GS 오다 편의점 전쟁,"['펭수', '무단', '도용', '저격', '편의점', '전쟁']"
79,승우아빠 ,442000000,연예인 진상고객에게 꾸중받았던 썰,-77 days +07:27:27.582542000,127378,280000,34,77,1,연예인 진상 고객 에게 꾸중 받다 써다,"['연예인', '진상', '고객', '꾸중']"
80,승우아빠 ,442000000,국밥보다 든든한 닭갈비를 만드는 물팁,-79 days +07:27:27.582542000,104189,20000,30,79,1,국밥 보다 든든하다 닭갈비 만들다 물팁,"['국밥', '닭갈비', '물팁']"
81,승우아빠 ,442000000,세상 간단한 참PD 요리,-81 days +07:27:27.582542000,157589,210000,78,81,1,세상 간단하다 차다 PD 요리,"['세상', '요리']"
82,승우아빠 ,442000000,아무리 생각해도 이건 좀 너무한것 같습니다 (분노주의),-82 days +07:27:27.582542000,217709,370000,286,82,1,아무리 생각 하다 이건 좀 너무하다 같다 분노 주의,"['생각', '이건', '좀', '분노', '주의']"
83,승우아빠 ,442000000,세상 간단한 감자 요리 6가지,-84 days +07:27:27.582542000,205756,380000,86,84,1,세상 간단하다 감자 요리 가지,"['세상', '감자', '요리', '가지']"
84,승우아빠 ,442000000,영국출신 미친셰프를 만나고 직업을 바꾼 썰,-86 days +07:27:27.582542000,145649,270000,59,86,1,영국 출신 미치다 셰프 만나다 직업 바꾸다 써다,"['영국', '출신', '셰프', '직업']"
85,승우아빠 ,442000000,왕갈비버거! 사진만 보고 만들 수 있을까?,-88 days +07:27:27.582542000,198241,290000,57,88,1,왕 갈비 버거 사진 보고 만들다 수 있다,"['왕', '갈비', '버거', '사진', '보고', '수']"
86,승우아빠 ,442000000,2020년 신제품 트랜드 총정리,-89 days +07:27:27.582542000,80264,190000,28,89,1,년 신제품 트 랜드 총 정리,"['년', '신제품', '트', '랜드', '총', '정리']"
87,승우아빠 ,442000000,쭈우우우우우욱 늘어나는 감자 요리 그런데 이제 치즈를 곁들인,-91 days +07:27:27.581541000,172348,260000,55,91,1,쭈우우우우우욱 늘어나다 감자 요리 그런데 이제 치즈 곁들이다,"['쭈우우우우우욱', '감자', '요리', '이제', '치즈']"
88,승우아빠 ,442000000,요리유튜버가 살 빼는 방법과 치명적인 부작용,-93 days +07:27:27.581541000,85970,160000,20,93,1,요리유튜버 살 빼다 방법 치명 적 인 부작용,"['요리', '유', '튜버', '살', '방법', '치명', '적', '인', '부작용']"
89,승우아빠 ,442000000,세상 간단한 케찹 요리 7가지,-95 days +07:27:27.581541000,162498,240000,41,95,1,세상 간단하다 케찹 요리 가지,"['세상', '케찹', '요리', '가지']"
90,승우아빠 ,442000000,판매 자체가 불법이었던 그 제품은 지금 어떻게 됐을까?,-96 days +07:27:27.581541000,123920,190000,40,96,1,판매 자체 불법 그 제품 지금 어떻다 돼다,"['판매', '자체', '불법', '그', '제품', '지금']"
91,승우아빠 ,442000000,최현석 셰프는 왜 자신의 이름을 건 레스토랑을 떠났을까,-97 days +07:27:27.581541000,399368,850000,357,97,1,최현석 셰프 왜 자신 이름 건 레스토랑 떠나다,"['최현석', '셰프', '왜', '자신', '이름', '건', '레스토랑']"
92,승우아빠 ,442000000,국밥은 정말 가성비가 좋을까?,-98 days +07:27:27.581541000,300329,440000,119,98,1,국밥 정말 가성 비 좋다,"['국밥', '정말', '가성', '비']"
93,승우아빠 ,442000000,34만 유튜브 채널에서 1년동안 벌어진 일,-100 days +07:27:27.581541000,148173,340000,56,100,1,유튜브 채널 년 동안 벌어지다 일,"['유튜브', '채널', '년', '동안', '일']"
94,승우아빠 ,442000000,이 간단한 것을 실패한다면 제가 벌칙을 받겠습니다... 연말을 위한 간단 파티요리,-102 days +07:27:27.581541000,264080,410000,70,102,1,간단하다 것 실패하다 제 벌칙 받다 연말 위 한 간단 파티 요리,"['것', '제', '벌칙', '연말', '위', '간단', '파티', '요리']"
95,승우아빠 ,442000000,포방터 돈가스집 연돈 이슈 정리와 전통시장 상인회에 대한 개인적인 경험담,-103 days +07:27:27.581541000,306868,390000,176,103,1,포방터 돈가스 집 연 돈 이슈 정리 전통 시장 상인 회 대한 개인 적 인 경 험담,"['포방터', '돈가스', '집', '연', '돈', '이슈', '정리', '전통', '시장', '상인', '회', '대한', '개인', '적', '인', '경', '험담']"
96,승우아빠 ,442000000,냉동 차돌박이를 더 맛있게 먹는 7가지 방법,-105 days +07:27:27.581541000,145428,270000,34,105,1,냉동 차돌박이 더 맛있다 먹다 가지 방법,"['냉동', '차돌박이', '더', '가지', '방법']"
97,승우아빠 ,442000000,3배 식초는 정말로 3배가 맞을까?,-107 days +07:27:27.581541000,55152,120000,13,107,1,배 식초 정말로 배 맞다,"['배', '식초', '배']"
98,승우아빠 ,442000000,세상 간단한 달걀 요리 N가지,-109 days +07:27:27.581541000,502207,650000,163,109,1,세상 간단하다 달걀 요리 N 가지,"['세상', '달걀', '요리', '가지']"
99,승우아빠 ,442000000,배달의 민족과 요기요는 이제 한가족 입니다,-110 days +07:27:27.581541000,96485,190000,35,110,1,배달 민족 요 기요 이제 한 가족,"['배달', '민족', '요', '기요', '이제', '가족']"
100,승우아빠 ,442000000,너무 궁금해서 세번째 물어봅니다,-111 days +07:27:27.581541000,81234,140000,16,111,1,너무 궁금하다 세번 째 물어보다,['세번']
101,승우아빠 ,442000000,기름 한컵으로 튀기는 한끼 치킨,-112 days +07:27:27.581541000,241607,420000,92,112,1,기름 한 컵 튀기다 한 끼 치킨,"['기름', '컵', '끼', '치킨']"
102,승우아빠 ,442000000,감자튀김을 여섯배 더 맛있게 먹는 방법을 소개합니다 (옆구리 주의),-114 days +07:27:27.581541000,208645,340000,57,114,1,감자 튀김 여섯 배 더 맛있다 먹다 방법 소개 하다 옆구리 주의,"['감자', '튀김', '여섯', '배', '더', '방법', '소개', '옆구리', '주의']"
103,승우아빠 ,442000000,세상 간단한 어묵 요리 9가지,-116 days +07:27:27.581541000,436134,520000,151,116,1,세상 간단하다 어묵 요리 가지,"['세상', '어묵', '요리', '가지']"
104,승우아빠 ,442000000,미슐랭 고소사건 정리 / 오뚜기는 어떻게 농심을 이겼을까? / 2차 만두 전쟁 이야기,-117 days +07:27:27.581541000,176367,350000,113,117,1,미슐랭 고소 사건 정리 오뚜기 어떻다 농심 이기다 차 만두 전쟁 이야기,"['미슐랭', '고소', '사건', '정리', '오뚜기', '농심', '이기', '차', '만두', '전쟁', '이야기']"
